date,1. open,2. high,3. low,4. close,5. volume,Predicted
2021-08-12,59.86,60.105,59.84,59.84,10837.0,57.784
2021-08-13,59.8,59.91,58.971,59.0056,7555.0,57.784
2021-08-16,57.81,58.7657,57.38,58.605,15352.0,57.784
2021-08-17,58.51,58.565,57.7471,57.98,15065.0,57.784
2021-08-18,58.22,58.24,56.48,56.55,22574.0,57.784
2021-08-19,55.25,55.75,54.64,55.7062,31074.0,56.65214
2021-08-20,54.7,54.87,54.1,54.1,24550.0,55.75762
2021-08-23,56.41,57.4177,56.41,57.0761,30127.0,54.505463
2021-08-24,58.38,59.11,58.3687,58.98,30129.0,56.235424
2021-08-25,59.33,59.68,58.72,59.52,17622.0,58.594936
2021-08-26,58.87,59.43,58.46,59.13,9363.0,59.613388
2021-08-27,59.67,60.0684,59.67,59.9462,17078.0,59.16592
2021-08-30,59.78,60.4,59.65,60.21,10668.0,59.339203
2021-08-31,59.965,60.22,59.77,59.82,8435.0,59.585762
2021-09-01,58.97,59.99,58.84,59.68,20935.0,59.32197
2021-09-02,60.96,61.59,60.94,60.94,10752.0,59.10673
2021-09-03,61.245,61.2665,60.65,60.68,6006.0,60.09936
2021-09-07,59.76,60.24,59.76,59.86,28465.0,60.29676
2021-09-08,60.89,60.89,60.3,60.4843,7872.0,59.589466
2021-09-09,59.65,60.64,59.2,59.5286,9595.0,59.841755
2021-09-10,60.86,61.0,60.64,60.82,11786.0,59.310482
2021-09-13,61.53,61.7301,61.18,61.53,12749.0,60.161133
2021-09-14,61.74,61.74,61.16,61.2504,5424.0,61.10913
2021-09-15,62.41,63.05,62.41,62.63,18553.0,61.044895
2021-09-16,62.56,62.78,61.93,62.61,13652.0,61.968285
2021-09-17,62.06,62.22,61.99,62.22,5224.0,62.186264
2021-09-20,61.37,61.51,60.775,61.25,17784.0,61.750584
2021-09-21,61.12,61.42,60.5115,61.4,12155.0,60.78719
2021-09-22,56.58,56.88,56.31,56.7,20012.0,60.731613
2021-09-23,56.78,57.6471,56.78,57.64,81807.0,57.264866
2021-09-24,57.6988,58.13,57.65,58.02,12002.0,56.973763
2021-09-27,59.23,59.44,59.05,59.33,20319.0,57.75411
2021-09-28,59.97,59.97,58.76,58.8,38300.0,59.1873
2021-09-29,59.06,59.5,58.75,58.8379,27533.0,59.17479
2021-09-30,58.18,59.77,57.75,58.95,26124.0,58.89947
2021-10-01,59.0,59.8035,58.92,59.73,26889.0,58.78795
2021-10-04,60.78,61.63,60.58,61.07,14953.0,59.323368
2021-10-05,61.46,62.31,61.46,62.2079,14511.0,60.53432
2021-10-06,61.44,61.44,60.495,60.52,67947.0,61.719765
2021-10-07,60.66,61.88,60.18,61.88,15055.0,60.457016
2021-10-08,62.39,62.53,61.66,61.99,16054.0,60.937996
2021-10-11,63.06,63.18,62.729,62.75,19599.0,61.34984
2021-10-12,62.97,63.21,62.49,62.75,16137.0,62.059357
2021-10-13,62.2175,63.05,62.1,62.88,12227.0,62.222923
2021-10-14,63.48,63.5,62.79,63.4999,12543.0,62.274254
2021-10-15,63.85,64.0,63.529,63.65,29741.0,62.791546
2021-10-18,64.34,64.34,63.2415,63.48,14007.0,63.06348
2021-10-19,63.52,64.36,63.23,63.83,45589.0,62.926464
2021-10-20,63.67,64.62,63.37,64.5712,9249.0,63.162384
2021-10-21,63.96,64.269,62.8921,63.6869,22768.0,63.902737
2021-10-22,64.03,64.1,63.4,64.1,6462.0,63.3019
2021-10-25,64.56,64.7,64.02,64.02,15550.0,63.40993
2021-10-26,64.41,64.75,64.14,64.64,19764.0,63.471912
2021-10-27,63.86,64.32,63.03,63.06,23027.0,64.04348
2021-10-28,62.94,63.59,62.54,63.59,23067.0,62.822674
2021-10-29,63.18,63.4,62.57,63.11,18692.0,62.912876
2021-11-01,59.5,59.5,57.3321,57.4,30914.0,62.736874
2021-11-02,57.76,57.76,56.91,57.33,28366.0,58.112236
2021-11-03,56.28,56.4612,55.295,55.43,61019.0,56.86205
2021-11-04,57.63,57.63,55.0,55.203,69470.0,55.801006
2021-11-05,56.37,56.91,55.55,56.91,47896.0,55.56097
2021-11-08,57.45,57.48,56.99,57.3,68834.0,56.896187
2021-11-09,57.81,58.0,57.18,58.0,66499.0,57.74533
2021-11-10,58.1,58.1,56.22,56.46,43473.0,58.282475
2021-11-11,56.55,56.88,56.05,56.3757,25148.0,57.06188
2021-11-12,56.0,56.4,55.87,56.11,18560.0,56.334743
2021-11-15,55.53,56.28,55.46,56.18,6887.0,55.970436
2021-11-16,56.27,56.9,55.935,56.89,45124.0,55.97189
2021-11-17,56.6,56.6,54.9,55.34,29025.0,56.541103
2021-11-18,55.875,56.04,55.19,55.87,78412.0,55.661438
2021-11-19,55.39,55.39,54.01,54.15,70509.0,55.582916
2021-11-22,54.8,55.3054,54.422,54.86,67917.0,54.491314
2021-11-23,55.83,56.7665,55.83,56.68,112660.0,54.543434
2021-11-24,56.44,56.8,56.06,56.44,84152.0,56.015114
2021-11-26,53.4,53.4,49.36,50.41,172074.0,56.47732
2021-11-29,52.77,52.77,50.53,50.94,78863.0,52.328236
2021-11-30,49.42,49.86,47.33,48.66,126849.0,50.847733
2021-12-01,43.1,43.1151,40.6638,40.78,112617.0,49.389286
2021-12-02,40.07,42.19,40.07,41.79,77371.0,44.748352
2021-12-03,43.11,43.1658,41.35,41.69,81310.0,42.899532
2021-12-06,42.71,43.92,42.32,43.79,79426.0,42.434032
2021-12-07,44.48,45.38,44.48,44.76,82958.0,43.482113
2021-12-08,44.96,45.5666,44.81,45.47,50951.0,44.800274
2021-12-09,45.1217,45.465,44.28,44.3,80035.0,45.801483
2021-12-10,44.74,45.15,44.4868,45.04,23700.0,45.505993
2021-12-13,44.5,45.17,44.47,44.63,40629.0,45.391163
2021-12-14,43.845,44.32,43.62,44.11,33733.0,45.07086
2021-12-15,43.8,44.82,43.61,44.66,36040.0,44.56577
2021-12-16,44.44,45.31,44.44,44.79,18427.0,44.532646
2021-12-17,44.17,44.47,43.57,43.83,17297.0,44.674778
2021-12-20,42.6,43.24,41.5657,43.23,32535.0,44.29755
2021-12-21,43.825,44.56,43.66,44.56,16034.0,43.74058
2021-12-22,44.5,45.2109,44.2316,45.21,32575.0,44.10317
2021-12-23,39.37,39.799,39.15,39.799,84127.0,44.78671
2021-12-27,39.79,40.825,39.5,40.67,22842.0,42.606606
2021-12-28,40.96,41.1,40.79,40.8661,9251.0,41.425236
2021-12-29,40.67,41.64,40.67,41.11,75132.0,41.08389
2021-12-30,41.14,41.632,41.14,41.21,44072.0,41.203197
2021-12-31,41.22,41.27,40.4717,40.65,46529.0,41.426983
2022-01-03,40.56,41.2899,40.4758,41.0888,38924.0,41.316883
2022-01-04,41.49,41.8983,41.38,41.58,28906.0,41.366367
2022-01-05,42.0627,42.13,41.4,41.401,24874.0,41.62499
2022-01-06,42.36,42.65,42.2301,42.43,35209.0,41.70594
2022-01-07,42.44,42.72,42.15,42.3286,35741.0,42.152782
2022-01-10,42.28,42.28,41.751,41.8,15021.0,42.40225
2022-01-11,42.31,43.379,42.13,43.3187,65177.0,42.234665
2022-01-12,43.6,44.0,43.48,43.8199,17364.0,42.740135
2022-01-13,43.85,43.979,43.3501,43.44,20842.0,43.366833
